,query_name,node_info,depth,is_bushy,x,y,x',y',z,extra_info
0,/Users/kerenhuang/join-order-benchmark/10a.sql,HASH_JOIN,6,False,3140339,39866016,3140339,112,104,"INNER
id = person_role_id

[INFOSEPARATOR]
EC: 489
"
1,/Users/kerenhuang/join-order-benchmark/10a.sql,HASH_JOIN,5,False,39866014,2,112,2,112,"INNER
company_type_id = id

[INFOSEPARATOR]
EC: 473
"
2,/Users/kerenhuang/join-order-benchmark/10a.sql,HASH_JOIN,4,False,39866013,1,151,1,112,"INNER
role_id = id

[INFOSEPARATOR]
EC: 473
"
3,/Users/kerenhuang/join-order-benchmark/10a.sql,HASH_JOIN,3,False,36242603,3623410,36242603,4539,151,"INNER
movie_id = movie_id

[INFOSEPARATOR]
EC: 5684
"
4,/Users/kerenhuang/join-order-benchmark/10a.sql,HASH_JOIN,2,False,1012920,2610490,1012920,8790,4539,"INNER
id = movie_id

[INFOSEPARATOR]
EC: 2615
"
5,/Users/kerenhuang/join-order-benchmark/10a.sql,HASH_JOIN,1,False,2609129,1361,2609129,1361,8790,"INNER
company_id = id

[INFOSEPARATOR]
EC: 17245
"
6,/Users/kerenhuang/join-order-benchmark/10b.sql,HASH_JOIN,6,False,16384,39244762,16384,0,0,"INNER
id = person_role_id

[INFOSEPARATOR]
EC: 489
"
7,/Users/kerenhuang/join-order-benchmark/10b.sql,HASH_JOIN,5,False,39244760,2,0,2,0,"INNER
company_type_id = id

[INFOSEPARATOR]
EC: 473
"
8,/Users/kerenhuang/join-order-benchmark/10b.sql,HASH_JOIN,4,False,39244759,1,2614,1,0,"INNER
role_id = id

[INFOSEPARATOR]
EC: 473
"
9,/Users/kerenhuang/join-order-benchmark/10b.sql,HASH_JOIN,3,False,36242603,3002156,36242603,1259,2614,"INNER
movie_id = movie_id

[INFOSEPARATOR]
EC: 5684
"
10,/Users/kerenhuang/join-order-benchmark/10b.sql,HASH_JOIN,2,False,391666,2610490,391666,8790,1259,"INNER
id = movie_id

[INFOSEPARATOR]
EC: 2615
"
11,/Users/kerenhuang/join-order-benchmark/10b.sql,HASH_JOIN,1,False,2609129,1361,2609129,1361,8790,"INNER
company_id = id

[INFOSEPARATOR]
EC: 17245
"
12,/Users/kerenhuang/join-order-benchmark/10c.sql,HASH_JOIN,6,False,3140339,40685620,3140339,782104,10,"INNER
id = person_role_id

[INFOSEPARATOR]
EC: 5872
"
13,/Users/kerenhuang/join-order-benchmark/10c.sql,HASH_JOIN,5,False,40685609,11,782104,11,782104,"INNER
role_id = id

[INFOSEPARATOR]
EC: 5684
"
